,PublicRemarks,Bedrooms,Building_Type,Address,LeaseRent,Property_Type,OwnershipType,ParkingSpaceTotal
374,"Brand New Condo In The Heart Of Downtown Hamilton! Junior 1 Bedroom Unit With New Appliances, Laminated Flooring , Quartz Counter Tops. Close Walk To Hess Village, Breweries, Shops, Restaurants, Cafes & Shopping Malls. Minutes To Hamilton Go And West Harbour Go Train Stations And Bus Routes. Mcmaster University, Mohawk Are Just Minutes Away By Bus; Minutes From Hwy 403. Amenities Include Gym, Yoga Deck, Party Room And Rooftop Terrace.**** EXTRAS **** Fridge, Stove, Dishwasher, Stacked Washer And Dryer. (30450977)",0 + 1,Apartment,"#503 -15 QUEEN ST S|Hamilton, Ontario L8P0C6","$1,600/Monthly",Single Family,Condominium/Strata,
375,"Located In A Private Circle Of A Beautiful Area Of Burlington, No Outside Traffic. Two Bedroom Newly Renovated Basement Apt For Rent. Separate Entrance And Laundry Set. 1 Bath, Fully Renovated Kitchen. With A New Fridge, Oven, Dishwasher. One Parking Spot Is Available On The Driveway. This House Is Just Steps Away From All Amenities Such As Restaurants, Shopping, Public Transit With Quick Access To The Highway.**** EXTRAS **** One Car Parking Is Included. Tenants To Pay 30% Of The Total Utilities Cost. Personal Laundry. New Kitchen. Separate Access To The House. Good Credit Score And Proof Of Income Required. Small Pets Only. (30466138)",1,House,"2028 CANNING  CRES|Burlington, Ontario L7P3S5","$1,600/Monthly",Single Family,Freehold,
376,"Freshly Painted & Professionally Cleaned. Spacious Suite In High Park. Home Is Full Of Character, High Ceilings, One Bedroom, One Bathroom And Charming Kitchen. Walking Distance To High Park, Bloor West, Roncesvalles Village, Ttc, Shared Washer And Dryer.**** EXTRAS **** Existing Elfs, Appliances And Tenant Pays Hydro. (30359540)",1,Fourplex,"##5 -211 HOWARD PARK AVE|Toronto, Ontario M6R1V9","$1,600/Monthly",Single Family,,
377,"This cozy main floor apartment in Rural Erin is ideal for a single mature tenant looking for a quiet place to come home to! The long private driveway leads to your separate side entrance and parking space. Inside, the eat-in kitchen features a new condo sized stove, faux marble counter, ensuite laundry, and dining area! The single bedroom is bright with a large privacy window, and the 3-piece bath includes a separate corner shower, built-in vanity with granite counter, and heated tile flooring. Off the living room is a handy mudroom with a second entrance leading to the parking and paved patio area overlooking the grounds. This perfect country apartment is waiting for you! Hydro included, tenant to pay for propane and cable/internet. Bell high speed internet available. Driveway is plowed in the winter, but tenant to clear their parking spot. (64976106)",1 + 0,House,"8832 HALTON ERIN Townline Unit# A|Erin, Ontario L7J2L9","$1,600/Monthly",Single Family,Freehold,
378,"This Cozy Main Floor Apartment In Rural Erin Is Ideal For A Single Mature Tenant Looking For A Quiet Place To Come Home To! The Long Private Driveway Leads To Your Separate Side Entrance And Parking Space. Inside, The Eat-In Kitchen Features A New Condo Sized Stove, Faux Marble Counter, Ensuite Laundry, And A Dining Area! The Single Bedroom Is Bright With A Large Privacy Window, And The 3-Piece Bath Includes A Separate Corner Shower, Built-In Vanity With Granite Counter, And Heated Tile Flooring. Off The Living Room Is A Handy Mudroom With A Second Entrance Leading To The Parking And Paved Patio Area Overlooking The Grounds. This Perfect Country Apartment Is Waiting For You!**** EXTRAS **** Hydro Included, Tenant To Pay For Propane And Cable/Internet. Bell High Speed Internet Available. Driveway Is Plowed In The Winter, But Tenant To Clear Their Parking Spot. (30382169)",1,House,"#A -8832 HALTON ERIN TOWNLINE|Erin, Ontario L7J2L9","$1,600/Monthly",Single Family,Freehold,
379,"Beautiful 1Bdrm 1Bath Apartment With Original Details 9Ft Ceilings! Quiet Location With Easy Access To: Transportation On Main Streets, Eateries, Groceries And Other Local Amenities. Radiant Heating, No Noisy Vents. Utilities Included. Please Include Rental Application, Employment Letters, Proof Of Income, Credit Check, And References With Offer.**** EXTRAS **** Convenient Downtown Location. Loads Of Character And High Ceilings. Access To Backyard/ Back Porch. Laundry Onsite. Pin Pad Entry (30447958)",1,House,"#B -43 TISDALE ST S|Hamilton, Ontario L8N2W1","$1,625/Monthly",Single Family,Freehold,
380,"Recently Renovated 2 Bed, 1 Bath Basement Unit Near Weston Rd & Eglinton Ave W. Roughly 600 Square Feet Of Living Space, And Easy Ttc Access. Walking Distance To Fergy Brown Park & Keelesdale North/South Park. Amazing Area For Schools And Peaceful, Quaint Living.**** EXTRAS **** Fridge, Stove, Microwave, And Dishwasher. Shared Laundry. No Parking. Street Parking May Be Available By City Permit. Heat/Hydro/Water Are All Included In The Rent. Landlord Would Prefer No Pets. (30364809)",2,Duplex,"#BSMT -53 BROWNVILLE AVE|Toronto, Ontario M6N4L2","$1,625/Monthly",Single Family,,
381,"Newley Painted + Renovated 2 Bedroom + 1 Bathroom Basement For Lease! 1 Parking + Separate Laundry Room & Backyard. Walking Distance To Amenities, Go Train & Public Transit.**** EXTRAS **** Basement Tenant Has 1 Driveway Parking + Backyard & Is Responsible For 40% Of Utilities, Lawn + Snow Removal. Main Floor Tenant Has 1 Driveway Parking + Garage & Is Responsible 60% Of Utilities, Lawn + Snow Removal. No Pets Allowed. (30446266)",2,House,"#BSMNT -57 SIMCOE RD|Bradford West Gwillimbury, Ontario L3Z2A9","$1,650/Monthly",Single Family,Freehold,
382,"* Spacious & Modern One Bedroom Basement Apartment With Separate Walk-Up Entrance To Yard * Excellent Move-In Conditions ***** EXTRAS **** Fridge, Stove, Kitchen Hood, Washer, Dryer, Two Parking Spaces On One Side Of Driveway Near The Side Yard. ** Shared 35% Utilities Costs With Landlord Upstairs ** (30440015)",1,House,"#BSMT -990 SHERMAN BROCK CIRC|Newmarket, Ontario L3X0B8","$1,650/Monthly",Single Family,Freehold,
383,"Back To Wilcox Lake ! Fully Renovated ! Bright Two Bedrooms Walk Out Basement Apartment . Open Concept Kitchen With Lots Of Cabinets And Unobstructed Lake View. Close To The New Lake Wilcox Park And New Oak Ridges Community Centre. Steps To Public Transit, Shopping, Convenient Access To 404. Wild Life, Lots Of Jogging And Biking Trails In The Area. Quiet Exclusive Neighbourhood. Canoeing And Fishing. Self Contained Laundry Rooms.**** EXTRAS **** Fridge, Stove, Washer, Dryer, B/I Dishwasher. (30454452)",2,House,"U B 1 LAKESIDE CRES AVE|Richmond Hill, Ontario L4E3C8","$1,650/Monthly",Single Family,Freehold,
384,"Newer Basement Unit.2 Bedrooms,1 Wr & 1 Parking Spot. Great Location In North York. Earl Haig School Zone. Steps To 24/7 T.T.C, New Kitchen, Ensuite Storage, Separate Laundry. Separate Entrance. Minutes To Subway & Go Bus. Close To Go Train, Hyw 404 & 401. Yonge & Finch, Schools, Restaurants, Banks, Malls, Groceries & All Amenities. Please No Smokers And No Pets.**** EXTRAS **** Fridge, Stove, Range Hood, Washer & Dryer, Central A/C, All Light Fixs. House Living Experience Req, Equifax Credit Report, Emp Letter, Ref Letter, Rental App. Photo Id, 2 Paystubs. Tenant Insurance, Key & Utility Deposit, 1st Last Deposit. (30422274)",2,House,"#LOWER -9 LAREDO CRT|Toronto, Ontario M2M4H8","$1,650/Monthly",Single Family,Freehold,1
385,"Excellent Location! Close To Yonge. Steps To Go Train, Viva, Mall, Community Center,Mins To Hospital, Highway 404 & 407, Walmart & Library.2 Bedrooms Basement With Separate Entrance. Open Concept. En Suite Laundry. Safe And Welcoming Neighborhood**** EXTRAS **** Fridge, Stove, Washer & Dryer. All Light Fixtures, All Elfs & Window Coverings Included. No Smoke & Pet Preferred. 1/3 Of Utilities (Including Water, Hydro). (30243287)",2,House,"160 RUGGLES  AVE W|Richmond Hill, Ontario L4C1Y4","$1,650/Monthly",Single Family,Freehold,
386,"Walk Out Basement With One Bedroom With Large Living Room And Separate Entrance In Prestigious Thornhill Woods Community. Pot-Lights Throughout, En-Suite Laundry Room W/Full Size Washer And Dryer. One Parking Spot. Bus Stop Across The Street. In Close Proximity To Hwy 7 & 407, Parks, Highly Desired Schools, Community Centre, Grocery Stores.**** EXTRAS **** Fridge, Stove, Washer & Dryer. Tenant To Pays 30% Of All The Utilities. (30208734)",1,House,"#BSMT -48 LINDVEST CRES E|Vaughan, Ontario L6A4N2","$1,650/Monthly",Single Family,Freehold,
387,"Prime Willowbrook Home Situated On A Quiet, Sought After Crescent. Highly Rated Willowbrook Ps & Thornlea Ss Nearby, Walk To Thornhill Community Center.Bright Apartment With A Big Kithen & Brekfast Area.**** EXTRAS **** Stove. Fridge,Etc... (30163150)",1,House,"127 HOLM CRES|Markham, Ontario L3T5J4","$1,650/Monthly",Single Family,Freehold,1
388,"Incredible Bright, 1 Bed + Den Lower Unit With Separate Private Entrance Is An Amazing Place To Call Home! Great Location A Short 7-Minute Walk To Main Subway Station With The Ttc Stop Steps Away, 13 Minute Walk To Danforth Go Station And A Brisk Walk To Trendy Danforth. A Walk-Score Of 82, Transit Score Of 89, And Bike Score Of 100! Close To The Beaches, Sobeys Grocery, Canadian Tire, Shoppers World, And Michael Garron Hospital.**** EXTRAS **** Utilities Are All Included (Hydro, Water, And Gas). Kitchen Appliances Include Fridge, Stove, Microwave. Access To The Backyard For Entertaining And Outdoor Shed For Extra Storage Space. One Parking Spot Is Available For Rent. (30165081)",1 + 1,House,"#LOWER -251B CHISHOLM AVE|Toronto, Ontario M4C4W5","$1,650/Monthly",Single Family,Freehold,
389,"Well Updated, Spacious 2 Bedroom, Separate Entrance Basement Apartment At The Heart Of Box Grove! Kitchen Cabinet With Backsplash, Tons Of Pot Lights In Open Concept Living, Good Sized Bedrooms, Exclusive Use Of Owned Laundry & One Parking Space Available. Steps To School, Transit, Park & Green Belt & Minutes To Steeles & 407.**** EXTRAS **** All Elfs, Fridge, Stove, Range Hood, Microwave, Washer & Dryer. (30134313)",2,House,"69 BATCHFORD CRES|Markham, Ontario L6B0C2","$1,650/Monthly",Single Family,Freehold,1
390,"Finished Basement Apartment For Lease. Separate Entrance. One Bedroom + Living Room + Storage Room. Full Kitchen With Fridge & Stove. Ensuite Separate Laundry. 1 Tandem Parking Spot On Driveway.**** EXTRAS **** Fridge, Stove, Washer. Rent Includes Hydro, Heat And Water (30157306)",1,House,"#BSMT -174 SANTA AMATO CRES|Vaughan, Ontario L4J0E7","$1,650/Monthly",Single Family,Freehold,2
391,"Located in the heart of the downtown core, this 2 bedroom unit is just steps from everything: restaurants, entertainment, shopping, Go Station, public transit, parks, schools and highway access. This unit will not last long, don't miss your opportunity. MUST WEAR MASKS. Safe and private viewing. Looking for A+ tenants only! (28871552)",2,Apartment,"2 78 GEORGE Street|Hamilton, Ontario L8P1C9","$1,650/Monthly",Single Family,Freehold,0
392,"Bright Studio Unit In A Great Long Branch Boutique Apartment Building. Just Renovated. Brand New Kitchen And Bathroom. Nice Open Layout Allowing For You To Maximize All Your Living Space. Including Parking. Excellent Value. Move-In Ready! Steps To Ttc, Shops, Starbucks, The Lake And Miles Of Walking And Biking Paths Along The Trails. Minutes To Sherway Gardens Shopping Mall. Immediate Highway Access, Close To Airports And Downtown Toronto.**** EXTRAS **** Parking Spot Included. Coin Laundry On Premises. Freshly Painted. Move-In Ready. (30078112)",0,Apartment,"#1 -41 MARINA AVE|Toronto, Ontario M8W1K5","$1,650/Monthly",Single Family,Condominium/Strata,
393,"******Very Good Location In A Quiet Cul-Del-Sac****** Separate Entrance******, Around 1200 Sf Living Area With Eat-In Kitchen, Great Size Bed Rooms And Living Room, Very Good And Clean Move-In Condition, Must Come And See !!**** EXTRAS **** Fridge, Stove, Kitchen Fan, Separate Entrance, Washer And Dryer (Not Share), Central Air Conditioner, All Light Fixtures (30382167)",2,Other,"#LOWER -6005 TENTH LINE|Mississauga, Ontario L5N5S6","$1,650/Monthly",Single Family,,
394,"Well Maintained Lower Level Apartment. Great Layout, Open Concept, Very Spacious, Minutes To Erindale Go Station, University Of Toronto & Square One Mall. Aaa Tenant, Shared Laundry, Separate Entrance, Parking Included. No Pets, Tenants Pay Their Own Internet. (30425746)",1,House,"3690 ELLENGALE  DR|Mississauga, Ontario L5C1Z7","$1,650/Monthly",Single Family,Freehold,1
395,"This Is It The Search Is Over, The Best Value In The City. Amazing Downtown Location In The Heart Of Downtown Beautiful Guelph, Spacious 2 Bed, Well Maintained. Everything Around You Mall Trails Restaurants Church Farmers Market Go Transit And Much More....**** EXTRAS **** Fridge, Stove. Walking Distance To Schools, Parks, Shopping, Church. One Bus (30422729)",2,Apartment,"#202 -51 WYNDHAM ST N|Guelph, Ontario N1H4E4","$1,650/Monthly",Single Family,Condominium/Strata,
396,"Lovely Cozy Studio Townhouse By The Lake, Walkable To Lake, High Park. Short Distance To  Bloor West Village & Roncevalles, Shopping & Restaurants. Public Transit Outside Your Doorstep. Just Off The Qew, Enjoy All The Conveniences Of Condo Living W/ Fitness Centre, Indoor Pool, Sauna. Grenadier Pond Across The Street. Tenant Pays For Gas & Rental For Hot Water Tank.**** EXTRAS **** Fridge, Stove, Washer, Dryer. (30426098)",0,Row / Townhouse,"#TH13 -93 THE QUEENSWAY AVE|Toronto, Ontario M6S5A7","$1,650/Monthly",Single Family,Condominium/Strata,
397,"Bright Studio Unit In A Great Long Branch Boutique Apartment Building. Just Renovated. Brand New Kitchen And Bathroom. Nice Open Layout Allowing For You To Maximize All Your Living Space. Including Parking. Excellent Value. Move-In Ready! Steps To Ttc, Shops, Starbucks, The Lake And Miles Of Walking And Biking Paths Along The Trails. Minutes To Sherway Gardens Shopping Mall. Immediate Highway Access, Close To Airports And Downtown Toronto.**** EXTRAS **** Parking Spot Included. Coin Laundry On Premises. Freshly Painted. Move-In Ready. (30078112)",0,Apartment,"#1 -41 MARINA AVE|Toronto, Ontario M8W1K5","$1,650/Monthly",Single Family,Condominium/Strata,
398,"This Is It The Search Is Over, The Best Value In The City. Amazing Downtown Location In The Heart Of Downtown Beautiful Guelph, Spacious 2 Bed, Well Maintained. Everything Around You Mall Trails Restaurants Church Farmers Market Go Transit And Much More....**** EXTRAS **** Fridge, Stove. Walking Distance To Schools, Parks, Shopping, Church. One Bus (30422729)",2,Apartment,"#202 -51 WYNDHAM ST N|Guelph, Ontario N1H4E4","$1,650/Monthly",Single Family,Condominium/Strata,
399,"******Very Good Location In A Quiet Cul-Del-Sac****** Separate Entrance******, Around 1200 Sf Living Area With Eat-In Kitchen, Great Size Bed Rooms And Living Room, Very Good And Clean Move-In Condition, Must Come And See !!**** EXTRAS **** Fridge, Stove, Kitchen Fan, Separate Entrance, Washer And Dryer (Not Share), Central Air Conditioner, All Light Fixtures (30382167)",2,Other,"#LOWER -6005 TENTH LINE|Mississauga, Ontario L5N5S6","$1,650/Monthly",Single Family,,
400,"Well Maintained Lower Level Apartment. Great Layout, Open Concept, Very Spacious, Minutes To Erindale Go Station, University Of Toronto & Square One Mall. Aaa Tenant, Shared Laundry, Separate Entrance, Parking Included. No Pets, Tenants Pay Their Own Internet. (30425746)",1,House,"3690 ELLENGALE  DR|Mississauga, Ontario L5C1Z7","$1,650/Monthly",Single Family,Freehold,1
401,"All-Inclusive!!! Bright, Clean, And Spacious Basement Apartment That Boasts 8 Ft. Ceilings, Open Concept Layout, And Quartz Countertops. Separate Entrance Through The Garage With Shared Laundry (Located In Common Area) Makes This Basement Apartment Perfect For A Young Professional!!! No Pets, No Smoking!!!**** EXTRAS **** Included: Fridge, Oven/Stove, Microwave, Washer/Dryer. 1 Driveway Parking Spot(Left Side), No Pets, No Smoking, All-Inclusive!!! (30433675)",1,House,"#(LOWER) -9 SELINE CRES|Barrie, Ontario L4N0Y6","$1,650/Monthly",Single Family,Freehold,1
402,"$1650 All-Inclusive, Available Immediately. 1 Parking Spot, No Backyard Access (30433623)",1,Other,"#BSMT -617 CARNEGIE AVE|Oshawa, Ontario L1G4R4","$1,650/Monthly",Single Family,,
403,"Legal 1+1 Bedroom Lower Unit Available With Parking Space. Spacious Kitchen, Clean Unit With Newer Flooring, Carpet, Entrance Door And Paint. Private Laundry In Unit. Separately Billed Hydro. Gas & Water Is Split 50% W/ Upper Unit.**** EXTRAS **** Unit Features Private Laundry Ensuite, Newer 3Pc Bathroom. This Amazing Suite Is Minutes From The 401, Shops And Great Schools. Fridge, Stove, Washer, Dryer. No Backyard Access Or Shared Outdoor Space. (30452768)",1 + 1,House,"#LOWER -655 OLIVE AVE|Oshawa, Ontario L1H2R9","$1,650/Monthly",Single Family,Freehold,
